Name,ID,Mobile URL,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors,Mobile URL Colors,Sizes,Stock Levels
Stone Washed Slim Jean,8863,https://www.supremenewyork.com/mobile/#products/8863,https://d17ol771963kd3.cloudfront.net/244809/ca/a8QD988Vylc.jpg,https://assets.supremenewyork.com/244809/rc/a8QD988Vylc.jpg,27500.00,0.00,False,46,Pants,"All cotton 14 oz. selvedge denim with stone wash. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and leather logo patch on back.",Stone Washed Indigo,'https://www.supremenewyork.com/mobile/#products/8863/32979',"30,32,34,36,38","1, 1, 1, 1, 0, 'END OF STOCK FOR Stone Washed Indigo'"
Stone Washed Black Slim Jean,8926,https://www.supremenewyork.com/mobile/#products/8926,https://d17ol771963kd3.cloudfront.net/244775/ca/GJqfmox8i7U.jpg,https://assets.supremenewyork.com/244775/rc/GJqfmox8i7U.jpg,24200.00,0.00,False,47,Pants,"All cotton 14 oz. denim with stone wash. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and leather logo patch on back.",Washed Black,'https://www.supremenewyork.com/mobile/#products/8926/33219',"30,32,34,36,38","1, 1, 1, 1, 0, 'END OF STOCK FOR Washed Black'"
S Logo Sweatpant,8918,https://www.supremenewyork.com/mobile/#products/8918,https://d17ol771963kd3.cloudfront.net/244974/ca/23n_yppQhcQ.jpg,https://assets.supremenewyork.com/244974/rc/23n_yppQhcQ.jpg,25300.00,0.00,False,48,Pants,Heavyweight crossgrain brushed-back fleece. On seam hand pockets and single back patch pocket. Elastic cuffs and waistband with interior drawcord. Embroidered logos on thigh and back pocket.,"Red,Brown,Dark Green,Heather Grey,Royal,Black","'https://www.supremenewyork.com/mobile/#products/8918/33187', 'https://www.supremenewyork.com/mobile/#products/8918/33188', 'https://www.supremenewyork.com/mobile/#products/8918/33189', 'https://www.supremenewyork.com/mobile/#products/8918/33190', 'https://www.supremenewyork.com/mobile/#products/8918/33191', 'https://www.supremenewyork.com/mobile/#products/8918/33192'","Small,Medium,Large,XLarge,XXL","1, 1, 0, 0, 0, 'END OF STOCK FOR Red', 1, 1, 1, 1, 0, 'END OF STOCK FOR Brown', 0, 0, 0, 0, 0, 'END OF STOCK FOR Dark Green', 1, 1, 1, 1, 0, 'END OF STOCK FOR Heather Grey', 0, 0, 0, 0, 0, 'END OF STOCK FOR Royal', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Small Box Sweatshort,8881,https://www.supremenewyork.com/mobile/#products/8881,https://d17ol771963kd3.cloudfront.net/245194/ca/sJaqCicc9UI.jpg,https://assets.supremenewyork.com/245194/rc/sJaqCicc9UI.jpg,18700.00,0.00,False,49,Shorts,Heavyweight crossgrain brushed-back fleece. On seam hand pockets and single back patch pocket. Elastic waistband with interior drawcord. Embroidered logo patch at waist.,"Light Olive,Light Slate,Bright Orange,Ash Grey,Dark Brown,Black,Raspberry","'https://www.supremenewyork.com/mobile/#products/8881/33047', 'https://www.supremenewyork.com/mobile/#products/8881/33048', 'https://www.supremenewyork.com/mobile/#products/8881/33049', 'https://www.supremenewyork.com/mobile/#products/8881/33050', 'https://www.supremenewyork.com/mobile/#products/8881/33051', 'https://www.supremenewyork.com/mobile/#products/8881/33052', 'https://www.supremenewyork.com/mobile/#products/8881/33053'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Light Olive', 0, 1, 0, 0, 0, 'END OF STOCK FOR Light Slate', 0, 0, 0, 0, 0, 'END OF STOCK FOR Bright Orange', 0, 0, 0, 0, 0, 'END OF STOCK FOR Ash Grey', 1, 1, 1, 1, 0, 'END OF STOCK FOR Dark Brown', 0, 0, 0, 0, 0, 'END OF STOCK FOR Black', 1, 1, 0, 0, 0, 'END OF STOCK FOR Raspberry'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Sweater,8988,https://www.supremenewyork.com/mobile/#products/8988,https://d17ol771963kd3.cloudfront.net/248849/ca/hzjaOsPs6og.jpg,https://assets.supremenewyork.com/248849/rc/hzjaOsPs6og.jpg,41800.00,0.00,True,12,Tops/Sweaters,Wool blend with intarsia knit graphic. Knit logos at sleeve and back hem. Original artwork from TEKKEN™. ,"Black,Olive","'https://www.supremenewyork.com/mobile/#products/8988/33413', 'https://www.supremenewyork.com/mobile/#products/8988/33414'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR Olive'"
Inverted Stripe S/S Top,8974,https://www.supremenewyork.com/mobile/#products/8974,https://d17ol771963kd3.cloudfront.net/245821/ca/yaP_32lUVm8.jpg,https://assets.supremenewyork.com/245821/rc/yaP_32lUVm8.jpg,15400.00,0.00,True,27,Tops/Sweaters,All cotton jersey crewneck with inverted jacquard knit logo at chest.,"Green,Brown,Black,Light Blue","'https://www.supremenewyork.com/mobile/#products/8974/33380', 'https://www.supremenewyork.com/mobile/#products/8974/33381', 'https://www.supremenewyork.com/mobile/#products/8974/33382', 'https://www.supremenewyork.com/mobile/#products/8974/33383'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Green', 1, 1, 1, 1, 1, 'END OF STOCK FOR Brown', 1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 1, 1, 1, 1, 1, 'END OF STOCK FOR Light Blue'"
Phoenix S/S Top,8983,https://www.supremenewyork.com/mobile/#products/8983,https://d17ol771963kd3.cloudfront.net/245953/ca/QU05Nj0Vxjc.jpg,https://assets.supremenewyork.com/245953/rc/QU05Nj0Vxjc.jpg,14300.00,0.00,True,28,Tops/Sweaters,All cotton jersey crewneck with embroidered logo on chest.,"Black,Lilac,White,Brown,Green","'https://www.supremenewyork.com/mobile/#products/8983/33398', 'https://www.supremenewyork.com/mobile/#products/8983/33399', 'https://www.supremenewyork.com/mobile/#products/8983/33400', 'https://www.supremenewyork.com/mobile/#products/8983/33401', 'https://www.supremenewyork.com/mobile/#products/8983/33402'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Black', 0, 0, 1, 1, 0, 'END OF STOCK FOR Lilac', 1, 1, 1, 1, 1, 'END OF STOCK FOR White', 1, 1, 1, 1, 1, 'END OF STOCK FOR Brown', 1, 1, 1, 1, 0, 'END OF STOCK FOR Green'"
Gradient Stripe Sweater,8964,https://www.supremenewyork.com/mobile/#products/8964,https://d17ol771963kd3.cloudfront.net/244433/ca/m7yMWTkG6Zk.jpg,https://assets.supremenewyork.com/244433/rc/m7yMWTkG6Zk.jpg,24200.00,0.00,False,10,Tops/Sweaters,"Acrylic with embroidered logo on chest.<br> 
<br>
<span class=""red"">
※こちらの商品は製造工程上、色味に個体差があり商品画像と異なる場合がございます。
</span>","Multicolor,Black","'https://www.supremenewyork.com/mobile/#products/8964/33351', 'https://www.supremenewyork.com/mobile/#products/8964/33352'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Multicolor', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Abstract Stripe Cardigan,8915,https://www.supremenewyork.com/mobile/#products/8915,https://d17ol771963kd3.cloudfront.net/244428/ca/FBNeVDqv62w.jpg,https://assets.supremenewyork.com/244428/rc/FBNeVDqv62w.jpg,35200.00,0.00,False,11,Tops/Sweaters,Brushed mohair blend with button front closure. Hand pockets at lower front with embroidered logo.,"Light Brown,Olive,Black,Plum","'https://www.supremenewyork.com/mobile/#products/8915/33177', 'https://www.supremenewyork.com/mobile/#products/8915/33178', 'https://www.supremenewyork.com/mobile/#products/8915/33179', 'https://www.supremenewyork.com/mobile/#products/8915/33180'","Small,Medium,Large,XLarge,XXL","0, 1, 1, 1, 0, 'END OF STOCK FOR Light Brown', 0, 0, 1, 1, 0, 'END OF STOCK FOR Olive', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR Plum'"
Creases S/S Top,8954,https://www.supremenewyork.com/mobile/#products/8954,https://d17ol771963kd3.cloudfront.net/245774/ca/EYEXOWhqNgE.jpg,https://assets.supremenewyork.com/245774/rc/EYEXOWhqNgE.jpg,15400.00,0.00,False,29,Tops/Sweaters,All cotton jersey crewneck with embroidered logo on chest.,"Neon Green,Grey,Red,White","'https://www.supremenewyork.com/mobile/#products/8954/33312', 'https://www.supremenewyork.com/mobile/#products/8954/33313', 'https://www.supremenewyork.com/mobile/#products/8954/33314', 'https://www.supremenewyork.com/mobile/#products/8954/33315'","Small,Medium,Large,XLarge,XXL","0, 1, 1, 0, 0, 'END OF STOCK FOR Neon Green', 1, 1, 1, 1, 0, 'END OF STOCK FOR Grey', 0, 0, 0, 0, 0, 'END OF STOCK FOR Red', 1, 1, 1, 1, 0, 'END OF STOCK FOR White'"
Cut Out L/S Top,8956,https://www.supremenewyork.com/mobile/#products/8956,https://d17ol771963kd3.cloudfront.net/245874/ca/SUqHRPzH0ns.jpg,https://assets.supremenewyork.com/245874/rc/SUqHRPzH0ns.jpg,15400.00,0.00,False,30,Tops/Sweaters,All cotton jersey crewneck with cut out logos at sleeves.,"Washed Navy,Olive,Black,Pale Pink","'https://www.supremenewyork.com/mobile/#products/8956/33319', 'https://www.supremenewyork.com/mobile/#products/8956/33320', 'https://www.supremenewyork.com/mobile/#products/8956/33321', 'https://www.supremenewyork.com/mobile/#products/8956/33322'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Washed Navy', 1, 1, 1, 1, 0, 'END OF STOCK FOR Olive', 0, 0, 1, 1, 0, 'END OF STOCK FOR Black', 0, 0, 0, 0, 0, 'END OF STOCK FOR Pale Pink'"
Shadow Script S/S Top,8943,https://www.supremenewyork.com/mobile/#products/8943,https://d17ol771963kd3.cloudfront.net/245991/ca/fBs0jiJEimo.jpg,https://assets.supremenewyork.com/245991/rc/fBs0jiJEimo.jpg,14300.00,0.00,False,31,Tops/Sweaters,All cotton jersey crewneck with satin logo appliqué at chest. ,"Dusty Yellow,Teal,White,Red,Dark Olive,Black","'https://www.supremenewyork.com/mobile/#products/8943/33271', 'https://www.supremenewyork.com/mobile/#products/8943/33272', 'https://www.supremenewyork.com/mobile/#products/8943/33273', 'https://www.supremenewyork.com/mobile/#products/8943/33274', 'https://www.supremenewyork.com/mobile/#products/8943/33275', 'https://www.supremenewyork.com/mobile/#products/8943/33276'","Small,Medium,Large,XLarge,XXL","1, 0, 0, 0, 0, 'END OF STOCK FOR Dusty Yellow', 1, 1, 1, 1, 1, 'END OF STOCK FOR Teal', 0, 1, 1, 1, 0, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Red', 1, 1, 1, 1, 0, 'END OF STOCK FOR Dark Olive', 1, 1, 1, 0, 0, 'END OF STOCK FOR Black'"
Small Box Tee,8886,https://www.supremenewyork.com/mobile/#products/8886,https://d17ol771963kd3.cloudfront.net/245738/ca/IkoyUjAhY-E.jpg,https://assets.supremenewyork.com/245738/rc/IkoyUjAhY-E.jpg,9900.00,0.00,False,32,Tops/Sweaters,All cotton jersey crewneck with embroidered logo patch on chest.,"Ash Grey,Magenta,Branch Woodland Camo,Teal,Navy,White,Black,Brown","'https://www.supremenewyork.com/mobile/#products/8886/33066', 'https://www.supremenewyork.com/mobile/#products/8886/33067', 'https://www.supremenewyork.com/mobile/#products/8886/33068', 'https://www.supremenewyork.com/mobile/#products/8886/33069', 'https://www.supremenewyork.com/mobile/#products/8886/33070', 'https://www.supremenewyork.com/mobile/#products/8886/33071', 'https://www.supremenewyork.com/mobile/#products/8886/33072', 'https://www.supremenewyork.com/mobile/#products/8886/33073'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Ash Grey', 0, 0, 0, 0, 0, 'END OF STOCK FOR Magenta', 1, 1, 1, 0, 0, 'END OF STOCK FOR Branch Woodland Camo', 1, 1, 1, 0, 0, 'END OF STOCK FOR Teal', 0, 0, 0, 0, 0, 'END OF STOCK FOR Navy', 1, 1, 1, 1, 0, 'END OF STOCK FOR White', 1, 1, 1, 0, 0, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR Brown'"
Supreme®/Mitchell & Ness® <br>Football Jersey,8947,https://www.supremenewyork.com/mobile/#products/8947,https://d17ol771963kd3.cloudfront.net/245716/ca/EbqndYGEYkw.jpg,https://assets.supremenewyork.com/245716/rc/EbqndYGEYkw.jpg,24200.00,0.00,False,33,Tops/Sweaters,Poly jersey with stripe rib collar. Vinyl logo appliqué at chest and sleeve with graphic appliqué at back. Woven logo label at lower front. Made exclusively for Supreme.,"Brown,White,Black","'https://www.supremenewyork.com/mobile/#products/8947/33286', 'https://www.supremenewyork.com/mobile/#products/8947/33287', 'https://www.supremenewyork.com/mobile/#products/8947/33288'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Brown', 1, 1, 1, 1, 0, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Mock Neck L/S Top,8907,https://www.supremenewyork.com/mobile/#products/8907,https://d17ol771963kd3.cloudfront.net/245812/ca/CuT64gkICYo.jpg,https://assets.supremenewyork.com/245812/rc/CuT64gkICYo.jpg,13200.00,0.00,False,34,Tops/Sweaters,All cotton jersey mock neck with embroidered logo on chest.,"Bright Pink,Dark Green,Dark Tan,Dark Navy,White,Black","'https://www.supremenewyork.com/mobile/#products/8907/33147', 'https://www.supremenewyork.com/mobile/#products/8907/33148', 'https://www.supremenewyork.com/mobile/#products/8907/33149', 'https://www.supremenewyork.com/mobile/#products/8907/33150', 'https://www.supremenewyork.com/mobile/#products/8907/33151', 'https://www.supremenewyork.com/mobile/#products/8907/33152'","Small,Medium,Large,XLarge,XXL","0, 0, 0, 0, 0, 'END OF STOCK FOR Bright Pink', 1, 1, 1, 1, 1, 'END OF STOCK FOR Dark Green', 1, 1, 1, 1, 1, 'END OF STOCK FOR Dark Tan', 1, 1, 1, 1, 1, 'END OF STOCK FOR Dark Navy', 1, 1, 1, 1, 1, 'END OF STOCK FOR White', 1, 1, 1, 1, 1, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto® <br>Paint Tee,8993,https://www.supremenewyork.com/mobile/#products/8993,https://d17ol771963kd3.cloudfront.net/248804/ca/LZcBgrBGl6o.jpg,https://assets.supremenewyork.com/248804/rc/LZcBgrBGl6o.jpg,9350.00,0.00,True,35,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem.,"Black,White","'https://www.supremenewyork.com/mobile/#products/8993/33428', 'https://www.supremenewyork.com/mobile/#products/8993/33429'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Black', 1, 1, 1, 1, 1, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>Pumpkin Tee,8994,https://www.supremenewyork.com/mobile/#products/8994,https://d17ol771963kd3.cloudfront.net/248807/ca/Tzos73Bqd-o.jpg,https://assets.supremenewyork.com/248807/rc/Tzos73Bqd-o.jpg,9350.00,0.00,True,36,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem.,"Black,White","'https://www.supremenewyork.com/mobile/#products/8994/33430', 'https://www.supremenewyork.com/mobile/#products/8994/33431'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 0, 0, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Tee,8973,https://www.supremenewyork.com/mobile/#products/8973,https://d17ol771963kd3.cloudfront.net/248800/ca/U34-mzZQ57E.jpg,https://assets.supremenewyork.com/248800/rc/U34-mzZQ57E.jpg,9350.00,0.00,True,37,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front. Printed logos at hem. Original artwork from TEKKEN™.,"White,Black","'https://www.supremenewyork.com/mobile/#products/8973/33378', 'https://www.supremenewyork.com/mobile/#products/8973/33379'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR White', 1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto® Suit,8976,https://www.supremenewyork.com/mobile/#products/8976,https://d17ol771963kd3.cloudfront.net/248832/ca/5I-T2RXkLUo.jpg,https://assets.supremenewyork.com/248832/rc/5I-T2RXkLUo.jpg,154000.00,0.00,True,1,Jackets,"Lightweight wool with printed graphic and viscose lining. Jacket with double welt hand pockets at hip and chest. Three interior welt pockets. Embroidered logos on back shoulder. Half-lined trousers with button closure, zip fly and elastic waistband with interior drawcord. On seam hand pockets and back pockets with button closure. Embroidered logos at back pocket.",Black,'https://www.supremenewyork.com/mobile/#products/8976/33385',"Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 0, 'END OF STOCK FOR Black'"
Supreme®/Yohji Yamamoto®/<br>Vanson Leathers® Split Jacket,8971,https://www.supremenewyork.com/mobile/#products/8971,https://d17ol771963kd3.cloudfront.net/248885/ca/YJ5swgK1PiI.jpg,https://assets.supremenewyork.com/248885/rc/YJ5swgK1PiI.jpg,407000.00,0.00,True,2,Jackets,"<span class=""red"">
※本商品につきましては、利用規約第１０条２項にかかわらず、発送までに3週間程度を頂戴致します旨ご了解下さい。<br>
※本商品のお支払いに関しましては、利用規約第１１条２項にかかわらずクレジットカード決済のみとなり、商品発送日に決済完了となります。<br>
　但し、デビットカード等口座直結型のカードをご利用の場合はご注文完了時に決済完了となります旨ご了解下さい。<br>
*Available online only. Allow 3 additional weeks for delivery. </span>

Custom fit competition weight cowhide leather with rayon twill lining. Full zip closure with double welt zip hand pockets at lower front and interior chest pockets. Snap band closure at collar and zip openings at cuffs. Leather logo appliqué at chest, sleeves and back. Embroidered logo patches on chest and sleeve. Made exclusively for Supreme.
","Green,White","'https://www.supremenewyork.com/mobile/#products/8971/33372', 'https://www.supremenewyork.com/mobile/#products/8971/33373'","Small,Medium,Large,XLarge,XXL","0, 1, 1, 0, 0, 'END OF STOCK FOR Green', 0, 1, 1, 0, 0, 'END OF STOCK FOR White'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Puffer Parka,8969,https://www.supremenewyork.com/mobile/#products/8969,https://d17ol771963kd3.cloudfront.net/248899/ca/qEsM8evb97Q.jpg,https://assets.supremenewyork.com/248899/rc/qEsM8evb97Q.jpg,79200.00,0.00,True,3,Jackets,Water resistant nylon with down insulated quilted baffles and lining. Snap front closure with double welt zip hand pockets at lower front. Patch pocket at chest and interior chest pockets. Removable hood with interior elastic shockcord. Printed logos on back. Original artwork from TEKKEN™. ,"Black,Royal","'https://www.supremenewyork.com/mobile/#products/8969/33368', 'https://www.supremenewyork.com/mobile/#products/8969/33369'","Small,Medium,Large,XLarge,XXL","1, 1, 1, 1, 1, 'END OF STOCK FOR Black', 1, 1, 1, 1, 0, 'END OF STOCK FOR Royal'"
