Name,ID,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors
Small Box Sweatshort,175268,assets.supremenewyork.com/245196/ca/gptIfYWnjiU.jpg,assets.supremenewyork.com/245196/rc/gptIfYWnjiU.jpg,118.00,0.00,False,46,Shorts,Heavyweight crossgrain brushed-back fleece. On seam hand pockets and single back patch pocket. Elastic waistband with interior drawcord. Embroidered logo patch at waist.,"Ash Grey,Light Olive,Bright Orange,Raspberry,Dark Brown,Light Slate,Black"
Supreme®/Nike® ACG Jersey,175366,assets.supremenewyork.com/248474/ca/ubWJs9HARHA.jpg,assets.supremenewyork.com/248474/rc/ubWJs9HARHA.jpg,110.00,0.00,True,2,Tops/Sweaters,Poly DRI-FIT jersey with knit rib collar and cuffs. Printed logos on collar and chest. Made exclusively for Supreme.,"Pale Green,Black,Dusty Blue"
Supreme®/Nike® ACG Grid Tee,175362,assets.supremenewyork.com/248470/ca/m3W_scsOdVc.jpg,assets.supremenewyork.com/248470/rc/m3W_scsOdVc.jpg,48.00,0.00,True,6,Tops/Sweaters,All cotton jersey crewneck with printed graphic on front. Made exclusively for Supreme.,"Orange,White,Green,Black,Blue"
Gradient Stripe Sweater,175354,assets.supremenewyork.com/244433/ca/m7yMWTkG6Zk.jpg,assets.supremenewyork.com/244433/rc/m7yMWTkG6Zk.jpg,158.00,0.00,True,11,Tops/Sweaters,Acrylic with embroidered logo on chest. ,"Multicolor,Black"
Cut Out L/S Top,175357,assets.supremenewyork.com/245874/ca/SUqHRPzH0ns.jpg,assets.supremenewyork.com/245874/rc/SUqHRPzH0ns.jpg,98.00,0.00,True,24,Tops/Sweaters,All cotton jersey crewneck with cut out logos at sleeves.,"Washed Navy,Olive,Black,Pale Pink"
Creases S/S Top,175365,assets.supremenewyork.com/245774/ca/EYEXOWhqNgE.jpg,assets.supremenewyork.com/245774/rc/EYEXOWhqNgE.jpg,88.00,0.00,True,25,Tops/Sweaters,All cotton jersey crewneck with embroidered logo on chest.,"Neon Green,Grey,Red,White"
Abstract Stripe Cardigan,175321,assets.supremenewyork.com/244430/ca/D6Ghp2g9v60.jpg,assets.supremenewyork.com/244430/rc/D6Ghp2g9v60.jpg,198.00,0.00,False,12,Tops/Sweaters,Brushed mohair blend with button front closure. Hand pockets at lower front with embroidered logo.,"Olive,Black,Plum,Light Brown"
Supreme®/Mitchell & Ness® <br>Football Jersey,175349,assets.supremenewyork.com/245719/ca/tg080Eenbu4.jpg,assets.supremenewyork.com/245719/rc/tg080Eenbu4.jpg,138.00,0.00,False,26,Tops/Sweaters,Poly jersey with stripe rib collar. Vinyl logo appliqué at chest and sleeve with graphic appliqué at back. Woven logo label at lower front. Made exclusively for Supreme.,"Black,White,Brown"
Mock Neck L/S Top,175277,assets.supremenewyork.com/245812/ca/CuT64gkICYo.jpg,assets.supremenewyork.com/245812/rc/CuT64gkICYo.jpg,78.00,0.00,False,27,Tops/Sweaters,All cotton jersey mock neck with embroidered logo on chest.,"Bright Pink,White,Dark Green,Black,Dark Tan,Dark Navy"
Republica Thermal,175333,assets.supremenewyork.com/245895/ca/osHMc37E03c.jpg,assets.supremenewyork.com/245895/rc/osHMc37E03c.jpg,98.00,0.00,False,28,Tops/Sweaters,Cotton blend waffle thermal with printed pattern.,"Green,Black"
Small Box Tee,175269,assets.supremenewyork.com/245737/ca/i6vdGhK5p0g.jpg,assets.supremenewyork.com/245737/rc/i6vdGhK5p0g.jpg,60.00,0.00,False,29,Tops/Sweaters,All cotton jersey crewneck with embroidered logo patch on chest.,"Navy,Branch Woodland Camo,Ash Grey,Black,Magenta,White,Brown,Teal"
Shadow Script S/S Top,175346,assets.supremenewyork.com/245991/ca/fBs0jiJEimo.jpg,assets.supremenewyork.com/245991/rc/fBs0jiJEimo.jpg,88.00,0.00,False,30,Tops/Sweaters,All cotton jersey crewneck with satin logo appliqué at chest. ,"Dusty Yellow,Black,White,Dark Olive,Red,Teal"
Trash Tee,175273,assets.supremenewyork.com/247661/ca/E0ILjIqkDI8.jpg,assets.supremenewyork.com/247661/rc/E0ILjIqkDI8.jpg,40.00,0.00,False,31,T-Shirts,All cotton classic Supreme t-shirt with printed graphic on front.,"Black,Eggplant,Heather Grey,Orange,White,Light Olive"
Slap Shot Tee,175316,assets.supremenewyork.com/247670/ca/T4ZOS5Kmhc8.jpg,assets.supremenewyork.com/247670/rc/T4ZOS5Kmhc8.jpg,40.00,0.00,False,32,T-Shirts,All cotton classic Supreme t-shirt with printed logo on front.,"Purple,White,Green,Red,Black,Brown"
