Name,ID,Image URL,Image URL Hi,Price,Sale Price,Euro Price,Euro Sale Price,New Item,Position,Category Name,Description
Republica Regular Jean,307074,//d17ol771963kd3.cloudfront.net/244792/ca/KkPZNCJx7OA.jpg,//assets.supremenewyork.com/244792/rc/KkPZNCJx7OA.jpg,158.0,0.0,178.0,0.0,False,37,Pants,"All cotton 13 oz. denim with printed pattern. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and leather logo patch on back."
2-Tone Paneled Jean,307010,//d17ol771963kd3.cloudfront.net/244842/ca/f_hXK4l7E-s.jpg,//assets.supremenewyork.com/244842/rc/f_hXK4l7E-s.jpg,158.0,0.0,178.0,0.0,False,38,Pants,"All cotton 13 oz. denim with contrast panels. Classic 5-pocket style with zip fly, single coin pocket, copper oxide rivets and leather logo patch on back. Embroidered logo on back pocket."
Studded Velour Track Pant,307056,//d17ol771963kd3.cloudfront.net/244829/ca/YHYsRJtAsHM.jpg,//assets.supremenewyork.com/244829/rc/YHYsRJtAsHM.jpg,118.0,0.0,138.0,0.0,False,39,Pants,Cotton blend velour with welt hand pockets and single back zip pocket. Elastic cuffs and hem with interior drawcord. Metal studs at sides and embroidered logo on thigh.
Cargo Pant,307064,//d17ol771963kd3.cloudfront.net/244883/ca/i1bwretetoY.jpg,//assets.supremenewyork.com/244883/rc/i1bwretetoY.jpg,148.0,0.0,168.0,0.0,False,40,Pants,"All cotton with enzyme wash. Slanted front pockets and button flap back pockets. Button flap cargo pockets at thighs and lower legs. Button fly closure, twill tape size adjusters at waist and drawstring at cuffs."
Elephant Sweatpant,307031,//d17ol771963kd3.cloudfront.net/245076/ca/xYq3NgLhkp8.jpg,//assets.supremenewyork.com/245076/rc/xYq3NgLhkp8.jpg,158.0,0.0,178.0,0.0,False,41,Pants,Brushed-back fleece with printed graphic. On seam hand pockets and single back patch pocket. Elastic cuffs and waistband with interior drawcord. Original artwork by Shaun Crawford.
Regular Jean,307026,//d17ol771963kd3.cloudfront.net/244782/ca/3jjobomAT3Y.jpg,//assets.supremenewyork.com/244782/rc/3jjobomAT3Y.jpg,148.0,0.0,168.0,0.0,False,42,Pants,"All cotton 13 oz. denim with enzyme wash. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and embroidered logo on back pocket."
Rigid Slim Jean,307006,//d17ol771963kd3.cloudfront.net/244797/ca/VOleTdoBxp8.jpg,//assets.supremenewyork.com/244797/rc/VOleTdoBxp8.jpg,158.0,0.0,178.0,0.0,False,43,Pants,"All cotton 14 oz. selvedge denim. Classic 5-pocket style with button fly, single coin pocket, copper rivets and leather logo patch on back."
Stone Washed Slim Jean,307014,//d17ol771963kd3.cloudfront.net/244809/ca/a8QD988Vylc.jpg,//assets.supremenewyork.com/244809/rc/a8QD988Vylc.jpg,168.0,0.0,188.0,0.0,False,44,Pants,"All cotton 14 oz. selvedge denim with stone wash. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and leather logo patch on back."
Stone Washed Black Slim Jean,306998,//d17ol771963kd3.cloudfront.net/244775/ca/GJqfmox8i7U.jpg,//assets.supremenewyork.com/244775/rc/GJqfmox8i7U.jpg,148.0,0.0,168.0,0.0,False,45,Pants,"All cotton 14 oz. denim with stone wash. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and leather logo patch on back."
Supreme®/Nike® ACG Nylon Trail Short,307087,//d17ol771963kd3.cloudfront.net/248401/ca/KD8DvgIvBNA.jpg,//assets.supremenewyork.com/248401/rc/KD8DvgIvBNA.jpg,118.0,0.0,138.0,0.0,True,4,Shorts,Water resistant nylon with mesh lining. Velcro flap patch pockets at waist. Elastic waistband with interior elastic shockcord. Embroidered logos at thigh and back pocket flap. Made exclusively for Supreme.
